year;ibge_code;ibge_label;isco88_4digit;isco88_4digit_LABEL
1960;294;Cinegrafistas;3132;Broadcasting and telecommunications equipment operators
1960;295;Fotógrafos;3131;Photographers and image and sound recording equipment operators
1960;311;Técnicos agrícolas e práticos rurais;3212;Agronomy and forestry technicians
1960;312;Tratoristas;8331;Motorised farm and forestry plant operators
1960;313;Aradores;9211;Farm-hands and labourers
1960;321;Chacareiros, hortelãos e floricultores;9211;Farm-hands and labourers
1960;322;Jardineiros;9211;Farm-hands and labourers
1960;323;Trabalhadores agrícolas e de enxada;9211;Farm-hands and labourers
1960;324;Trabalhadores de pecuária;9211;Farm-hands and labourers
1960;331;Pescadores;6152;Inland and coastal waters fishery workers
1960;332;Caçadores;6152;Inland and coastal waters fishery workers
1960;341;Madeireiros e lenhadores;6141;Forestry workers and loggers
1960;342;Carvoeiros (fabricantes);6141;Forestry workers and loggers
1960;343;Seringueiros;6141;Forestry workers and loggers
1960;344;Ervateiros;9211;Farm-hands and labourers
1960;345;Apanhadores, descascadores e quebradores de produtos vegetais;6141;Forestry workers and loggers
1960;411;Mineiros;7111;Miners and quarry workers
1960;421;Canteiros e marroeiros;7111;Miners and quarry workers
1960;431;Ocupações relativas à perfuração de poços de petróleo e de gás e trabalhadores afins;8113;Well drillers and borers and related workers
1960;441;Garimpeiros;7111;Miners and quarry workers
1960;511;Modeladores e formistas de metais;7211;Metal moulders and coremakers
1960;512;Fundidores de metais;8211;Machine-tool operators
1960;513;Laminadores e trefiladores;8211;Machine-tool operators
1960;514;Afiadores e amoladores;7224;Metal wheel-grinders, polishers and tool sharpeners
1960;521;Estampadores mecânicos;8211;Machine-tool operators
1960;522;Fresadores e furadores;8211;Machine-tool operators
1960;523;Torneiros mecânicos;8211;Machine-tool operators
1960;524;Mecânicos de motor a explosão;7231;Motor vehicle mechanics and fitters
1960;525;Mecânicos, sem especificação;8281;Mechanical-machinery assemblers
1960;526;Galvanizadores e niqueladores;8223;Metal finishing-, plating- and coating-machine operators
1960;527;Soldadores;7212;Welders and flamecutters
1960;528;Caldeireiros;8211;Machine-tool operators
1960;529;Ferreiros e serralheiros;8211;Machine-tool operators
1960;531;Lanterneiros de veículos;7231;Motor vehicle mechanics and fitters
1960;532;Rebitadores de metais;8211;Machine-tool operators
1960;533;Funileiros de metais;8211;Machine-tool operators
1960;534;Ferradores;8211;Machine-tool operators
1960;541;Cardadores e penteadores;8261;Fibre-preparing-, spinning- and winding-machine operators
1960;542;Maçaroqueiros, bobinadores e espuladores;8261;Fibre-preparing-, spinning- and winding-machine operators
1960;543;Fiandeiros;8261;Fibre-preparing-, spinning- and winding-machine operators
1960;544;Rendeiras;7436;Sewers, embroiderers and related workers
1960;545;Urdidores e remetedores;8262;Weaving- and knitting-machine operators
1960;546;Cordoeiros;8261;Fibre-preparing-, spinning- and winding-machine operators
1960;547;Tecelões;8262;Weaving- and knitting-machine operators
1960;548;Tapeceiros;7437;Upholsterers and related workers
1960;549;Redeiros;7436;Sewers, embroiderers and related workers
1960;551;Alvejadores e tintureiros têxteis;8264;Bleaching-, dyeing- and cleaning-machine operators
1960;552;Estampadores têxteis;8264;Bleaching-, dyeing- and cleaning-machine operators
1960;553;Acabadores de pano;7435;Textile, leather and related pattern-makers and cutters
1960;554;Cerzideiras;7436;Sewers, embroiderers and related workers
1960;561;Correeiros e seleiros;7442;Shoe-makers and related workers
1960;562;Curtidores;7441;Pelt dressers, tanners and fellmongers
1960;571;Alfaiates e costureiras;8263;Sewing-machine operators
1960;572;Bordadeiras;7436;Sewers, embroiderers and related workers
1960;573;Chapeleiros (de palha);7331;Handicraft workers in wood and related materials
1960;574;Chapeleiros, exclusive de palha;7436;Sewers, embroiderers and related workers
1960;575;Sapateiros;7442;Shoe-makers and related workers
1960;576;Bolseiros e cinteiros;7442;Shoe-makers and related workers
1960;581;Marceneiros;7422;Cabinet makers and related workers
1960;582;Carpinteiros;7124;Carpenters and joiners
1960;583;Tanoeiros;7124;Carpenters and joiners
1960;584;Serradores;8141;Wood-processing-plant operators
1960;585;Estofadores e capoteiros;7437;Upholsterers and related workers
1960;586;Colchoeiros;7437;Upholsterers and related workers
1960;587;Lustradores de madeira (inclusive móveis);7421;Wood treaters
1960;591;Eletricistas;7137;Building and related electricians
1960;592;Radiotécnicos (consertadores e montadores);7241;Electrical mechanics and fitters
1960;611;Mestres de obras;7129;Building frame and related trades workers not elsewhere classified
1960;612;Armadores de concreto;7123;Concrete placers, concrete finishers and related workers
1960;613;Pedreiros;7122;Bricklayers and stonemasons
1960;614;Serventes de pedreiro;9313;Building construction labourers
1960;615;Pintores caiadores;7141;Painters and related workers
1960;616;Estucadores;7133;Plasterers
1960;617;Ladrilheiros e taqueiros;7132;Floor layers and tile setters
1960;618;Encanadores;7136;Plumbers and pipe fitters
1960;619;Vidraceiros (colocador de vidros);7135;Glaziers
1960;621;Calceteiros e asfaltadores;9312;Construction and maintenance labourers: roads, dams and similar constructions
1960;622;Calafates;7132;Floor layers and tile setters
1960;623;Operadores de máquinas na construção civil;8332;Earth-moving- and related plant operators
1960;631;Linguiceiros e salsicheiros;8271;Meat- and fish-processing-machine operators
1960;632;Charqueadores;7411;Butchers, fishmongers and related food preparers
1960;633;Magarefes;7411;Butchers, fishmongers and related food preparers
1960;634;Manteigueiros e queijeiros;8272;Dairy-products machine operators
1960;635;Doceiros e confeiteiros;7412;Bakers, pastry-cooks and confectionery makers
1960;636;Macarroneiros e pasteleiros;8271;Meat- and fish-processing-machine operators
1960;637;Padeiros;7412;Bakers, pastry-cooks and confectionery makers
1960;638;Farinheiros e moleiros;8271;Meat- and fish-processing-machine operators
1960;639;Ocupações concernentes às usinas e engenhos de açúcar;8271;Meat- and fish-processing-machine operators
1960;641;Ocupações concernentes às destilarias de bebidas;8271;Meat- and fish-processing-machine operators
1960;642;Ocupações concernentes à moagem e torrefação de café;8271;Meat- and fish-processing-machine operators
1960;643;Ocupações concernentes à industrialização do pescado;8271;Meat- and fish-processing-machine operators
1960;651;Linotipistas;7341;Compositors, typesetters and related workers
1960;652;Tipógrafos;7341;Compositors, typesetters and related workers
1960;653;Clicheristas e gravadores;7341;Compositors, typesetters and related workers
1960;654;Impressores;7341;Compositors, typesetters and related workers
1960;655;Revisores, na indústria gráfica;7341;Compositors, typesetters and related workers
1960;656;Encadernadores e cartonadores;7345;Bookbinders and related workers
1960;657;Outras ocupações específicas da indústria gráfica;7341;Compositors, typesetters and related workers
1960;661;Vidreiros e ampoleiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1960;662;Ceramistas e louceiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1960;663;Pintores cerâmicos;7141;Painters and related workers
1960;664;Oleiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1960;671;Mestres, contramestres e técnicos: industriais;3119;Physical and engineering science technicians not elsewhere classified
1960;672;Ourives e relojoeiros;7313;Jewellery and precious-metal workers
1960;673;Lapidadores;7313;Jewellery and precious-metal workers
1960;674;Vulcanizadores e recauchutadores;8231;Rubber-products machine operators
1960;675;Fogueteiros;9321;Assembling labourers
1960;676;Outras ocupações técnicas e semi-técnicas no processo de produção;9321;Assembling labourers
1960;681;Cesteiros e esteireiros;7331;Handicraft workers in wood and related materials
1960;682;Vassoureiros;7331;Handicraft workers in wood and related materials
1960;683;Marmoristas;7111;Miners and quarry workers
1960;684;Charuteiros e cigarreiros;7416;Tobacco preparers and tobacco products makers
1960;685;Polidores e esmerilhadores;7224;Metal wheel-grinders, polishers and tool sharpeners
1960;686;Pintores a pistola;7141;Painters and related workers
1960;687;Maleiros;7442;Shoe-makers and related workers
1960;688;Foguistas (exclusive embarcação e trem);8162;Steam-engine and boiler operators
1960;689;Embaladores e expedidores;9322;Hand packers and other manufacturing labourers
1960;711;Açougueiros;7411;Butchers, fishmongers and related food preparers
1960;712;Vendedores ambulantes;9112;Street vendors, non-food products
1960;713;Balconistas e entregadores;5220;Shop salespersons and demonstrators
1960;714;Vendedores de jornais e revistas;5230;Stall and market salespersons
1960;721;Pracistas e viajantes comerciais;3415;Technical and commercial sales representatives
1960;722;Representantes comerciais;3415;Technical and commercial sales representatives
1960;723;Propagandistas;3415;Technical and commercial sales representatives
1960;731;Corretores e agenciadores;3429;Business services agents and trade brokers not elsewhere classified
1960;732;Compradores;3416;Buyers
1960;733;Leiloeiros;3417;Appraisers, valuers and auctioneers
1960;811;Aviadores civis;3143;Aircraft pilots and related associate professionals
1960;812;Aeromoços;5111;Travel attendants and travel stewards
1960;821;Oficiais de marinha mercante;3142;Ships' deck officers and pilots
1960;822;Mestres de embarcação;3142;Ships' deck officers and pilots
1960;823;Maquinistas de embarcação;8162;Steam-engine and boiler operators
1960;824;Foguistas de embarcação;8162;Steam-engine and boiler operators
1960;825;Marinheiros civis;8340;Ships' deck crews and related workers
1960;826;Taifeiros;8340;Ships' deck crews and related workers
1960;827;Barqueiros e canoeiros;8340;Ships' deck crews and related workers
1960;831;Práticos de porto;8340;Ships' deck crews and related workers
1960;832;Guindasteiros;8333;Crane, hoist and related plant operators
1960;833;Estivadores;9333;Freight handlers
1960;841;Agentes de estrada de ferro;4133;Transport clerks
1960;842;Condutores e chefes de trem;8311;Locomotive-engine drivers
1960;843;Maquinistas;8311;Locomotive-engine drivers
1960;844;Foguistas de trem;8162;Steam-engine and boiler operators
1960;845;Guarda-freios;8312;Railway brakers, signallers and shunters
1960;846;Manobreiros e sinaleiros;8312;Railway brakers, signallers and shunters
1960;851;Motoristas;8322;Car, taxi and van drivers
1960;852;Trocadores;5112;Transport conductors
1960;853;Motorneiros de bonde;8322;Car, taxi and van drivers
1960;854;Condutores de bonde;8322;Car, taxi and van drivers
1960;855;Carroceiros e tropeiros;9332;Drivers of animal-drawn vehicles and machinery
1960;861;Inspetores e despachantes nos transportes;4133;Transport clerks
1960;862;Trabalhadores de conservação de rodovias;9312;Construction and maintenance labourers: roads, dams and similar constructions
1960;863;Trabalhadores de conservação de ferrovias;9312;Construction and maintenance labourers: roads, dams and similar constructions
1960;871;Agentes postais e telegráficos;4142;Mail carriers and sorting clerks
1960;872;Telegrafistas e radiotelegrafistas;3132;Broadcasting and telecommunications equipment operators
1960;873;Telefonistas;4223;Telephone switchboard operators
1960;874;Carteiros;4142;Mail carriers and sorting clerks
1960;875;Manipuladores nos Correios e Telégrafos;4142;Mail carriers and sorting clerks
1960;876;Guarda-fios;7245;Electrical line installers, repairers and cable jointers
1960;911;Cozinheiros;5122;Cooks
1960;912;Garçons;5123;Waiters, waitresses and bartenders
1960;913;Amas e copeiras;9131;Domestic helpers and cleaners
1960;921;Porteiros, faxineiros e ascensoristas de edifícios;9141;Building caretakers
1960;931;Barbeiros e cabeleireiros;5141;Hairdressers, barbers, beauticians and related workers
1960;932;Manicuras e pedicuros;5141;Hairdressers, barbers, beauticians and related workers
1960;933;Lavadeiras e engomadeiras;9133;Hand-launderers and pressers
1960;934;Engraxates;9333;Freight handlers
1960;941;Músicos;2453;Composers, musicians and singers
1960;942;Artistas de cinema, teatro e circo;2455;Film, stage and related actors and directors
1960;943;Locutores e artistas de rádio e televisão;3472;Radio, television and other announcers
1960;944;Operadores de radiodifusão;3132;Broadcasting and telecommunications equipment operators
1960;945;Operadores cinematográficos;3132;Broadcasting and telecommunications equipment operators
1960;951;Atletas profissionais;3475;Athletes, sportspersons and related associate professionals
1960;961;Lavadores de carros;9333;Freight handlers
1960;962;Enceradores;9333;Freight handlers
1960;971;Oficiais e praças das Forças Armadas;110;Armed forces
1960;972;Oficiais e praças do Corpo de Bombeiros;5161;Fire-fighters
1960;973;Delegados e comissários de polícia;2429;Legal professionals not elsewhere classified
1960;974;Investigadores e peritos policiais;5169;Protective services workers not elsewhere classified
1960;975;Guardas civis e inspetores de tráfego;5169;Protective services workers not elsewhere classified
1960;976;Carcereiros e guardas de presídio;5169;Protective services workers not elsewhere classified
1960;981;Apontadores e capatazes;9211;Farm-hands and labourers
1960;982;Aprendizes;9321;Assembling labourers
1960;983;Contínuos, vigias e serventes;9141;Building caretakers
1960;984;Guardas sanitários;3231;Nursing associate professionals
1960;985;Inspetores e fiscais;3449;Customs, tax and related government associate professionals not elsewhere classified
1960;986;Lixeiros;9161;Garbage collectors
1960;987;Lubrificadores;7231;Motor vehicle mechanics and fitters
1960;988;Operadores de máquinas, exclusive na construção civil;8290;Other machine operators and assemblers
1960;989;Trabalhadores braçais, sem especificação;9333;Freight handlers
1960;998;Outras ocupações ou ocupações mal definidas;9333;Freight handlers
1960;999;Sem declaração de ocupação.;9333;Freight handlers
1970;11;agricultores;1311;General managers in agriculture, hunting, forestry/ and fishing
1970;12;pecuaristas;1311;General managers in agriculture, hunting, forestry/ and fishing
1970;13;avicultores e criadores de pequenos animais;1311;General managers in agriculture, hunting, forestry/ and fishing
1970;14;industriais;1222;Production and operations department managers in manufacturing
1970;15;comerciantes;1314;General managers in wholesale and retail trade
1970;16;hoteleiros e donos de pensão;1315;General managers of restaurants and hotels
1970;17;outros proprietários;1319;General managers not elsewhere classified
1970;21;administradores, diretores e assistentes no serviço público - inclusive cargos eletivos;1120;Senior government officials
1970;22;administradores de bancos e companhias de seguros;1227;Production and operations department managers in business services
1970;23;administradores na agropecuária;1311;General managers in agriculture, hunting, forestry/ and fishing
1970;24;outros administradores;1319;General managers not elsewhere classified
1970;31;agentes fiscais no serviço público;3449;Customs, tax and related government associate professionals not elsewhere classified
1970;32;inspetores de trabalho e fiscais de previdência;3152;Safety, health and quality inspectors
1970;33;oficiais e técnicos de administração;2419;Business professionals not elsewhere classified
1970;34;coletores e exatores;3449;Customs, tax and related government associate professionals not elsewhere classified
1970;35;caixas e tesoureiros;4211;Cashiers and ticket clerks
1970;36;técnicos de contabilidade;3419;Finance and sales associate professionals not elsewhere classified
1970;37;almoxarifes e armazenistas;4131;Stock clerks
1970;38;datilógrafos;4115;Secretaries
1970;39;taquígrafos;4115;Secretaries
1970;40;redatores;2451;Authors, journalists and other writers
1970;41;intérpretes e tradutores;2444;Philologists, translators and interpreters
1970;42;bibliotecários e documentarístas;2432;Librarians and related information professionals
1970;43;programadores;2132;Computer programmers
1970;44;operadores de apuração mecânica;4141;Library and filing clerks
1970;45;auxiliares de escritório e de administração em geral;4190;Other office clerks
1970;101;engenheiros;2142;Civil engineers
1970;102;arquitetos;2141;Architects, town and traffic planners
1970;103;agrimensores e topógrafos;3118;Draughtspersons
1970;104;desenhistas e Cartógrafos;3118;Draughtspersons
1970;111;químicos;2113;Chemists
1970;112;Farmacêuticos;2224;Pharmacists
1970;113;físicos;2111;Physicists and astronomers
1970;114;geólogos;2114;Geologists and geophysicists
1970;115;astrônomos;2111;Physicists and astronomers
1970;116;meteorologistas;2111;Physicists and astronomers
1970;121;agrônomos;2213;Agronomists and related professionals
1970;122;veterinários;2223;Veterinarians
1970;123;naturalistas;3229;Modern health associate professionals (except nursing) not elsewhere classified
1970;130;médicos;2221;Medical doctors
1970;131;dentistas;2222;Dentists
1970;132;parteiras;3231;Nursing associate professionals
1970;133;enfermeiros diplomados;2230;Nursing and midwifery professionals
1970;134;enfermeiros não diplomados;3231;Nursing associate professionals
1970;135;fisioterapistas e massagistas;3226;Physiotherapists and related associate professionals
1970;136;protéticos;7311;Precision-instrument makers and repairers
1970;137;operadores de Raios X;3211;Life science technicians
1970;138;Práticos de farmácia;3228;Pharmaceutical assistants
1970;139;laboratoristas;3116;Chemical engineering technicians
1970;141;matemáticos;2122;Statisticians
1970;142;estatísticos e Atuários;2122;Statisticians
1970;143;economistas;2441;Economists
1970;144;contadores;2419;Business professionals not elsewhere classified
1970;145;sociólogos, antropólogos e arqueólogos;2442;Sociologists, anthropologists and related professionals
1970;151;professores primários;2331;Primary education teaching professionals
1970;152;professores secundários;2320;Secondary education teaching professionals
1970;153;professores superiores;2310;College, university and higher education teaching professionals
1970;154;professores sem especificação;2359;Other teaching professionals not elsewhere classified
1970;155;inspetores de ensino técnico de educação;2359;Other teaching professionals not elsewhere classified
1970;156;inspetores de alunos;3340;Other teaching associate professionals
1970;161;magistrados;2422;Judges
1970;162;procuradores, promotores e curadores públicos;2421;Lawyers
1970;163;advogados e defensores públicos;2421;Lawyers
1970;164;Tabeliões e oficiais de registro;3432;Legal and related business associate professionals
1970;165;Escrivães e auxiliares de justiça;3432;Legal and related business associate professionals
1970;171;religiosos;2460;Religious professionals
1970;172;assistentes sociais;2446;Social work professionals
1970;173;agentes sociais;2446;Social work professionals
1970;181;escritores e jornalistas;2451;Authors, journalists and other writers
1970;191;escultores e pintores;2452;Sculptors, painters and related artists
1970;192;Músicos;2453;Composers, musicians and singers
1970;193;artistas de cinema, teatro, circo, rádio e televisão;2455;Film, stage and related actors and directors
1970;194;locutores;3472;Radio, television and other announcers
1970;195;decoradores e cenógrafos;3471;Decorators and commercial designers
1970;196;cinegrafistas e operadores de câmara;3132;Broadcasting and telecommunications equipment operators
1970;197;fotógrafos;3131;Photographers and image and sound recording equipment operators
1970;198;outros técnicos de cinema, teatro, rádio e televisão;3132;Broadcasting and telecommunications equipment operators
1970;211;técnicos agrícolas e Práticos rurais;3212;Agronomy and forestry technicians
1970;212;aradores;9211;Farm-hands and labourers
1970;213;tratoristas;8331;Motorised farm and forestry plant operators
1970;221;chacareiros, hortelãos e floriculturas;9211;Farm-hands and labourers
1970;222;jardineiros;9211;Farm-hands and labourers
1970;223;trabalhadores de enxada;9211;Farm-hands and labourers
1970;224;trabalhadores na pecuária;9211;Farm-hands and labourers
1970;231;Caçadores;6152;Inland and coastal waters fishery workers
1970;232;pescadores;6152;Inland and coastal waters fishery workers
1970;241;madeireiros e lenhadores;6141;Forestry workers and loggers
1970;242;carvoeiros fabricantes;6141;Forestry workers and loggers
1970;243;seringueiros;6141;Forestry workers and loggers
1970;244;ervateiros;9211;Farm-hands and labourers
1970;245;apanhadores, descascadores e quebradores de produtos vegetais;6141;Forestry workers and loggers
1970;311;mineiros;7111;Miners and quarry workers
1970;321;canteiros e marroeiros;7111;Miners and quarry workers
1970;331;trabalhadores extração petróleo e gás;8113;Well drillers and borers and related workers
1970;341;garimpeiros;7111;Miners and quarry workers
1970;411;modeladores e formistas de metais;7211;Metal moulders and coremakers
1970;412;fundidores de metais;8211;Machine-tool operators
1970;413;laminadores e trefiladores;8211;Machine-tool operators
1970;414;afiadores e amoladores;7224;Metal wheel-grinders, polishers and tool sharpeners
1970;421;estampadores mecânicos;8211;Machine-tool operators
1970;422;frezadores e furadores;8211;Machine-tool operators
1970;423;torneiros mecânicos;8211;Machine-tool operators
1970;424;mecânicos de motor a explosão;7231;Motor vehicle mechanics and fitters
1970;425;mecânicos sem especificação;8281;Mechanical-machinery assemblers
1970;426;galvanizadores e niqueladores;8223;Metal finishing-, plating- and coating-machine operators
1970;427;soldadores;7212;Welders and flamecutters
1970;428;caldeireiros;8211;Machine-tool operators
1970;429;ferreiros e serralheiros;8211;Machine-tool operators
1970;430;lanterneiros de veículos;7231;Motor vehicle mechanics and fitters
1970;431;rebitadores de metais;8211;Machine-tool operators
1970;432;funileiros de metais;8211;Machine-tool operators
1970;433;ferradores;8211;Machine-tool operators
1970;441;cardadores e penteadores;8261;Fibre-preparing-, spinning- and winding-machine operators
1970;442;maçaroqueiros, bobinadores e espuladores;8261;Fibre-preparing-, spinning- and winding-machine operators
1970;443;fiandeiros;8261;Fibre-preparing-, spinning- and winding-machine operators
1970;444;rendeiros;7436;Sewers, embroiderers and related workers
1970;445;urdidores e remetedores;8262;Weaving- and knitting-machine operators
1970;446;cordoeiros;8261;Fibre-preparing-, spinning- and winding-machine operators
1970;447;Tecelões;8262;Weaving- and knitting-machine operators
1970;448;tapeceiros;7437;Upholsterers and related workers
1970;449;redeiros;7436;Sewers, embroiderers and related workers
1970;450;alvejadores e tintureiros têxtil;8264;Bleaching-, dyeing- and cleaning-machine operators
1970;451;estampadores têxteis;8264;Bleaching-, dyeing- and cleaning-machine operators
1970;452;acabadores de pano;7435;Textile, leather and related pattern-makers and cutters
1970;461;correeiros e seleiros;7442;Shoe-makers and related workers
1970;462;curtidores;7441;Pelt dressers, tanners and fellmongers
1970;471;alfaiates e costureiros;8263;Sewing-machine operators
1970;472;bordadeiras e cerzideiras;7436;Sewers, embroiderers and related workers
1970;473;chapeleiros de palha;7331;Handicraft workers in wood and related materials
1970;474;chapeleiros - exclusive de palha;7436;Sewers, embroiderers and related workers
1970;475;sapateiros;7442;Shoe-makers and related workers
1970;476;bolseiros e cinteiros;7442;Shoe-makers and related workers
1970;481;marceneiros;7422;Cabinet makers and related workers
1970;482;carpinteiros;7124;Carpenters and joiners
1970;483;tanoeiros;7124;Carpenters and joiners
1970;484;serradores;8141;Wood-processing-plant operators
1970;485;estofadores e capoteiros;7437;Upholsterers and related workers
1970;486;colchoeiros;7437;Upholsterers and related workers
1970;487;lustradores de madeira;7421;Wood treaters
1970;491;eletricistas;7137;Building and related electricians
1970;492;radiotécnicos consertadores e montadores;7241;Electrical mechanics and fitters
1970;511;mestres de obra;7129;Building frame and related trades workers not elsewhere classified
1970;512;armadores de concreto;7123;Concrete placers, concrete finishers and related workers
1970;513;pedreiros;7122;Bricklayers and stonemasons
1970;514;serventes de pedreiros;9313;Building construction labourers
1970;515;pintores e caiadores;7141;Painters and related workers
1970;516;estucadores;7133;Plasterers
1970;517;ladrilheiros e taqueiros;7132;Floor layers and tile setters
1970;518;encanadores;7136;Plumbers and pipe fitters
1970;519;vidraceiros colocadores de vidros;7135;Glaziers
1970;520;calceteiros e asfaltadores;9312;Construction and maintenance labourers: roads, dams and similar constructions
1970;521;calafates;7132;Floor layers and tile setters
1970;522;operadores máquinas na construção civil;8332;Earth-moving- and related plant operators
1970;531;linguiceiros e salsicheiros;8271;Meat- and fish-processing-machine operators
1970;532;charqueadores;7411;Butchers, fishmongers and related food preparers
1970;533;magarefes;7411;Butchers, fishmongers and related food preparers
1970;534;manteigueiros e queijeiros;8272;Dairy-products machine operators
1970;535;doceiros e confeiteiros;7412;Bakers, pastry-cooks and confectionery makers
1970;536;macarroneiros e pasteleiros;8271;Meat- and fish-processing-machine operators
1970;537;padeiros;7412;Bakers, pastry-cooks and confectionery makers
1970;538;farinheiros e moleiros;8271;Meat- and fish-processing-machine operators
1970;539;ocupações das usinas e engenhos de açúcar;8271;Meat- and fish-processing-machine operators
1970;540;ocupações das destilarias de bebidas;8271;Meat- and fish-processing-machine operators
1970;541;ocupações da moagem e torrefação de café;8271;Meat- and fish-processing-machine operators
1970;542;ocupações da industrialização do pescado;8271;Meat- and fish-processing-machine operators
1970;551;linotipistas;7341;Compositors, typesetters and related workers
1970;552;tipógrafos;7341;Compositors, typesetters and related workers
1970;553;clicheristas e gravadores;7341;Compositors, typesetters and related workers
1970;554;impressores;7341;Compositors, typesetters and related workers
1970;555;revisores, na indústria gráfica;7341;Compositors, typesetters and related workers
1970;556;encanadores e cartonadores;7345;Bookbinders and related workers
1970;557;outras ocupações específicas da indústria gráfica;7341;Compositors, typesetters and related workers
1970;561;vidreiros e ampoleiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1970;562;ceramistas e louceiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1970;563;pintores cerâmicos;7141;Painters and related workers
1970;564;oleiros;8139;Glass, ceramics and related plant operators not elsewhere classified
1970;571;mestres, contramestres e técnicos industriais;3119;Physical and engineering science technicians not elsewhere classified
1970;572;ourives e relojoeiros;7313;Jewellery and precious-metal workers
1970;573;lapidadores;7313;Jewellery and precious-metal workers
1970;574;vulcanizadores e recauchutadores;8231;Rubber-products machine operators
1970;575;fogueteiros;9321;Assembling labourers
1970;576;cesteiros e esteireiros;7331;Handicraft workers in wood and related materials
1970;577;vassoureiros;7331;Handicraft workers in wood and related materials
1970;578;marmoristas;7111;Miners and quarry workers
1970;579;charuteiros e cigarreiros;7416;Tobacco preparers and tobacco products makers
1970;580;polidores e esmerilhadores;7224;Metal wheel-grinders, polishers and tool sharpeners
1970;581;pintores a pistola;7141;Painters and related workers
1970;582;operários de reparos e construção naval;8281;Mechanical-machinery assemblers
1970;583;artífices sem especificação;7331;Handicraft workers in wood and related materials
1970;584;foguistas - exclusive de embarcação e de trem;8162;Steam-engine and boiler operators
1970;585;embaladores e expedidores;9322;Hand packers and other manufacturing labourers
1970;586;outras ocupações das indústrias de transformação;9321;Assembling labourers
